balancing_authority,rank,date,fragility_z,fragility_01,daily_peak_mw,daily_max_ramp_mw,pct_hours_near_peak,daily_range_mw,daily_ramp_std,hours_observed
CISO,1,2025-09-03,5.89006652884209,1.0,42408.0,4682.0,0.16666666666666666,15707.0,1746.1630602469559,24
CISO,2,2025-08-07,4.991048880102089,0.9056811093543149,39804.0,4815.0,0.125,14300.0,1738.200976834832,24
CISO,3,2025-08-30,4.592803388621931,0.8638998684479783,38175.0,4481.0,0.16666666666666666,14306.0,1541.2220018731798,24
CISO,4,2025-09-04,4.462503974099258,0.8502297294392668,42063.0,3822.0,0.16666666666666666,15541.0,1702.9967427441256,24
CISO,5,2025-08-21,4.246024152587969,0.8275181212291974,40881.0,4180.0,0.125,15271.0,1812.1550686278542,24
CISO,6,2025-08-23,4.138043623063874,0.8161895296600326,43028.0,3472.0,0.16666666666666666,16603.0,1594.146474981409,24
CISO,7,2025-08-31,4.027367825994224,0.8045781687311714,38953.0,4326.0,0.125,15504.0,1719.3824388467194,24
CISO,8,2025-09-01,3.950434804313094,0.7965068730573273,39587.0,4183.0,0.125,15621.0,1688.2461356368487,24
CISO,9,2025-07-10,3.903007074213245,0.7915310743117406,36823.0,4241.0,0.16666666666666666,12194.0,1576.2887843037324,24
CISO,10,2025-08-29,3.829601976029688,0.7838299046649443,35843.0,3376.0,0.2916666666666667,10679.0,1352.7155772633857,24
PJM,1,2025-06-24,5.684254346389315,1.0,158646.0,8521.0,0.375,50900.0,5209.952060859032,24
PJM,2,2025-06-25,5.032246057011029,0.9356503412865731,154755.0,7931.0,0.375,48052.0,4947.794975864339,24
PJM,3,2025-07-29,4.978924977000105,0.9303878417803074,154380.0,8757.0,0.2916666666666667,53827.0,5085.816021729852,24
PJM,4,2025-06-23,4.595926829096709,0.8925880154484077,160560.0,8191.0,0.25,59080.0,4937.394304684155,24
PJM,5,2025-07-30,4.400434209324128,0.8732939611115301,151026.0,7791.0,0.3333333333333333,47284.0,4745.090927031546,24
PJM,6,2025-08-13,4.350281132957413,0.8683441262701603,140553.0,8532.0,0.3333333333333333,43733.0,4554.023696258832,24
PJM,7,2025-06-26,4.221042816255518,0.8555890099504051,145838.0,7512.0,0.375,43790.0,4644.587343021608,24
PJM,8,2025-08-12,4.21249642147414,0.854745527442021,146576.0,9183.0,0.20833333333333334,52582.0,4923.527065661805,24
PJM,9,2025-07-25,4.149230536325149,0.848501529959378,148888.0,8048.0,0.2916666666666667,49481.0,4816.0937835056475,24
PJM,10,2025-02-20,3.8150208482806947,0.8155168582692549,127359.0,6211.0,0.5833333333333334,14039.0,2353.564945929928,24
